RECRUITER_CODE,SMILES
L00628,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00629,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00535,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00536,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00558,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00559,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00560,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00561,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00630,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00631,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00537,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00609,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00610,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00611,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00612,CCCN1c2ccc(cc2CCC1=O)NS(=O)(=O)Cc3ccc(c(c3)Cl)C
L00562,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00563,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00696,C(COCCOCCO)O
L00096,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O
L00126,c1cc(ccc1C[C@@H](C(=O)O)N)OCCN=[N+]=N
L00119,c1c(nnn1CCCO)CO
