SMILES	Count	Recruiters
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCOC[C@H]2C)CC(=O)N3CC(c4c3cc(c(n4)CO)Cc5ccc(cc5)F)(C)C	2	L00188,L00779
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCCC2=O)CC(=O)N3CC(c4c3cc(cn4)Cc5ccccc5)(C)C	2	L00162,L00772
C[C@@H]1CN([C@H](C[NH2+]1)C(=O)N2CCOCC2)CC(=O)N3CC(c4c3cc(cn4)Cc5ccccc5)(C)C	2	L00166,L00775
C[C@@H]1CN([C@H](CN1)CN2[C@@H](COC[C@H]2C)C)CC(=O)N3CC(c4c3cc(cn4)[C@H](c5ccc(cc5)F)O)(C)C	2	L00246,L00792
C[C@@H]1CN([C@H](CN1)CN2Cc3ccccc3C2=O)CC(=O)N4CC(c5c4cc(cn5)Cc6ccc(cc6)F)(C)C	2	L00245,L00791
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cccc3	2	L00138,L00766
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cc(nc3)Cl	2	L00139,L00767
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCCC2	2	L00137,L00765
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CC(c3c2cc(cc3)Cl)(C)C	2	L00136,L00764
C[C@@H](c1nc(co1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)O)N	2	L00209,L00789
C[C@@H](C(=O)Nc1cccc(n1)N)[NH3+]	2	L00135,L00763
C[C@@H](C(=O)N[C@H]1CN(c2ccccc2N(C1=O)Cc3c4ccccc4ccc3OC)C(=O)c5ccc(cc5)N)NC	2	L00080,L00746
C[C@@H](C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]2CCCc3c2cccc3)Oc4ccccc4)C(C)(C)C)NC	2	L00173,L00776
C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]2CCCc3c2cccc3)C(C)(C)C)NC	2	L00174,L00777
C[C@@H](C(=O)N[C@@H]1C(=O)N(c2ccccc2OC13CCOCC3)Cc4c5ccc(cc5ccc4OC)C(=O)O)NC	2	L00081,L00747
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3C[C@@H]4C[C@@H]4N3C[C@H]2C(=O)N[C@@H]5CCOc6c5cccc6)NC	2	L00087,L00748
