MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RECRUITER_CODE,SMILES,PAINS_Hits,Brenk_Hits
264.30299999999994,3.399600000000002,15.6,2,0,1,4,2,0.11764705882352941,20,0,0,0.7704561452118179,746.1601532452497,-2.4199999999999995,11.410303133331636,4.303724581782936,1.5941671645319915,0,0,2,2,0,3,78.82300000000004,,True,True,True,True,True,L00042,c1ccc2c(c1)C=C(N3C2=NCC3)c4ccccc4F,None,stilbene
417.50900000000024,2.8272000000000004,69.72,4,1,4,5,2,0.4,31,1,0,0.7770512783528384,1011.9272149230165,-2.99,19.943020189235224,8.268462978249953,3.997529115596877,0,0,3,2,2,6,116.18120000000008,,True,True,True,True,True,L00043,c1ccc(cc1)CN2CCC(CC2)c3ccc4c(c3)CN(C4=O)[C@H]5CCC(=O)NC5=O,None,phthalimide
297.33599999999996,-0.7048000000000005,109.94000000000001,8,4,3,3,2,0.5,20,3,0,0.5924883875168468,619.7682839463657,-1.3200000000000003,13.653384613657876,5.225930656531059,2.1494280078895467,0,0,1,2,1,8,72.37720000000002,,True,True,True,False,True,L00044,c1c(c2c(s1)c(ncn2)O)CN3C[C@@H]([C@@H]([C@H]3CO)O)O,None,None
343.3390000000001,-0.07560000000000006,96.02000000000001,6,1,2,4,1,0.4117647058823529,25,1,0,0.7550856725400428,784.4880399058659,-2.74,15.768304135800031,5.961454187637941,2.5825816719540784,0,0,3,1,2,8,86.14570000000003,,True,True,True,True,True,L00045,c1cc2c(cc1N3CCOCC3)C(=O)N(C2=O)[C@H]4CCC(=O)NC4=O,None,phthalimide
209.267,-0.40349999999999914,66.84,4,1,4,1,0,1.0,13,0,0,0.6378928881466795,232.87709722476774,-0.17000000000000007,10.907942322681215,4.898616330019288,5.197679281804256,0,0,1,0,1,6,48.29160000000003,,True,True,True,False,True,L00046,C1COCCN1CCCS(=O)(=O)O,None,Sulfonic_acid_2
336.3760000000001,3.02048,109.53999999999999,4,2,3,3,3,0.058823529411764705,24,0,0,0.7656841837683048,1131.5874277773244,-3.2899999999999996,15.599801744702463,5.72697084149766,2.578054397153627,0,0,0,3,0,7,89.71620000000001,,True,True,True,True,True,L00047,Cc1ccc(c2c1c(c[nH]2)C#N)NS(=O)(=O)c3cccc(c3)C#N,None,None
556.6180000000003,3.937700000000002,139.31,7,2,10,4,4,0.11538461538461539,38,0,0,0.29949655436522443,1686.0554234862693,-4.289999999999999,26.764003115557223,10.597580184598932,5.357946861537031,0,0,0,4,0,12,142.91209999999987,,True,True,False,False,True,L00048,COc1ccc(cc1)S(=O)(=O)Nc2ccc(c3c2cccc3)N(CC(=O)O)S(=O)(=O)c4ccc(cc4)OC,None,None
494.9350000000003,2.68952,124.68,6,3,7,4,2,0.24,35,1,0,0.5081962228924173,1272.2535277524382,-3.98,24.154305269127914,10.10457680502369,5.575104593139882,0,0,2,2,1,10,129.31210000000007,,True,True,True,False,True,L00051,Cc1ccc(cc1Cl)NC(=O)CCc2cccc(c2)NC3=CC(=O)N(C3=O)[C@H]4CCC(=O)NC4=O,None,phthalimide
505.6630000000002,2.232700000000001,130.55,5,4,9,4,2,0.4827586206896552,37,5,0,0.4151956272260532,1024.2264964419455,-3.2299999999999986,26.82234125589696,12.341119029209336,6.023453214271149,0,0,2,2,2,8,143.11819999999992,,True,True,True,False,True,L00052,CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CCN)N,None,None
214.31199999999998,2.971800000000001,6.48,2,0,2,2,2,0.2857142857142857,16,0,0,0.7580117080997546,458.3115428346979,-1.7,10.805788371993678,4.046244645981219,1.7107113681665198,0,0,0,2,0,2,72.60200000000005,,True,True,True,False,True,L00053,CN(C)c1cccc2c1c(ccc2)N(C)C,None,None
