SMILES,RECRUITER_CODE
c1cn2cnc3c(c2n1)ncn3[C@H]4C[C@@H]([C@H](O4)COP(=O)(O)O)O,L00036
c1cnc(c2c1n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,L00189
c1cnc(cn1)N2CC[C@@]3(C2)CCOC3,L00412
c1cnc2c(cnn2c1)C(=O)NC3CC3,L00424
c1csc2c1[C@H](OCC2)CN,L00433
c1nc(c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO[P@@](=O)(O)OP(=O)(O)O)N,L00190
c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)COP(=O)(O)O)O)N,L00213
c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N,L00019
c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@]4([C@@H]3C4)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)N,L00059
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)O)N,L00193
c1nc(c2c(n1)n(cn2)[C@]34C[C@H]3[C@@H]([C@H](C4)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N,L00060
c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N,L00018
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,L00029
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(CP(=O)(O)O)O)O)O)N=C(NC2=O)N,L00247
