SMILES,RECRUITER_CODE
CC(C)(C)C[C@H]1[C@]2(c3ccc(cc3NC2=O)Cl)[C@H]([C@@H](N1)C(=O)NCCN)c4cccc(c4F)Cl,L00077
CC(C)(C)C[C@H]1[C@]2(c3ccc(cc3NC2=O)Cl)[C@H]([C@@H](N1)C(=O)Nc4ccc(cc4)C(=O)N)c5cccc(c5F)Cl,L00090
CC(C)(C)NC(=O)C(c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(c(c3)F)F)C=O,L00057
CC(C)(C)NC(=O)Cc1ccc(cc1n2c(c(nc2C3CCCCC3)c4[nH]nnn4)c5ccc(c(c5)Cl)F)Cl,L00262
CC(C)(C)NC(=O)[C@@H](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3cc(c(c(c3)F)F)F)C=O,L00198
CC(C)(C)NC(=O)[C@@H](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(cc3)OCc4ccc(cc4)Cl)C=O,L00482
CC(C)(C)NC(=O)[C@H](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(cc3)Cl)C=O,L00401
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N2[C@@H]([C@H](O[C@@H](C2=O)CC(=O)O)c3cccc(c3)Cl)c4ccc(cc4)Cl,L00098
CC(C)(Cc1ccccc1)c2cc3ccccc3c4n2ccn4,L00447
CC(C)(c1cc2c(c(c1)F)[C@@](N(C2=O)Cc3ccc(cn3)C#N)(c4ccc(cc4)Cl)OCC5(CC5)CO)O,L00405
CC(C)(c1cc2c(c(c1)F)[C@@](N(C2=O)Cc3ccc(cn3)Cl)(c4ccc(cc4)Cl)OCC5(CC5)C(=O)N)O,L00406
CC(C)(c1cc2c(c(c1)F)[C@@](N(C2=O)Cc3ccc(cn3)Cl)(c4ccc(cc4)Cl)OCC5(CC5)CO)O,L00410
CC(C)(c1cc2c(c(c1)F)[C@@](N(C2=O)Cc3ccc(cn3)Cl)(c4ccc(cc4)Cl)OCC5(CC5)O)O,L00407
CC(C)(c1ccc2c(c1)C(=O)N([C@]2(c3ccc(cc3)Cl)OCC4(CC4)CO)Cc5ccc(cc5)C#C)O,L00416
CC(C)C1=C(SC2=N[C@@]([C@H](N12)c3ccc(cc3)Cl)(C)c4ccc(cc4)Cl)C(=O)N5CCC[C@H]5C(=O)N(C)C,L00455
CC(C)CC(=O)C1=C(Nc2c(ccc(c2C1=O)N(=O)=O)Cl)Nc3ccc(cc3Cl)Cl,L00227
CC(C)C[C@@H](C(=O)NO)NC(c1c2ccc(cc2[nH]c1C(=O)NO)Cl)C(=O)NCc3ccccc3,L00092
CC(C)C[C@@H](C(=O)O)NC(=O)C,L00319
CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N[P@](=O)(CNC(=O)OCc1ccccc1)O,L00420
CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C)N[P@](=O)(CNC(=O)OCc1ccccc1)O,L00419
CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](Cc1ccccc1)N[P@](=O)(CNC(=O)OCc2ccccc2)O,L00082
CC(C)C[C@@H](CNC(=O)O)N,L00054
CC(C)N(C)c1c2cnn(c2ncn1)C,L00310
CC(C)N1CCN(CC1)C(=O)c2cccs2,L00342
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(c(c4)Cl)Cl)c5ccc(c(c5)Cl)Cl)OC,L00194
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5cc(ccc5F)Br)OC,L00122
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5ccc(cc5)Cl)OC,L00008
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5cccc(c5)Cl)C#N,L00123
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5cccc(c5)Cl)OC,L00124
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(cc4)Cl)c5cccc(c5)OC)OC,L00121
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3=C)c4ccc(cc4)Cl)c5ccc(cc5)Cl)OC,L00329
CC(C)Oc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCNCC3)c4ccc(cc4)Cl)c5ccc(cc5)Cl)OC,L00271
CC(C)Oc1cc2c(cc1OC)CC(=O)N([C@H]2c3ccc(cc3)Cl)c4ccc(cc4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C,L00130
CC(C)Oc1cccc(c1)c2cccc(n2)n3c(c(cn3)C(=O)O)C(F)(F)F,L00149
CC(C)[C@H](Cc1cn(nn1)Cc2ccc(cc2)C(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O,L00212
CC(C)c1c2c(nn1c3cnc(nc3OC)N(C)C)C(=O)N([C@H]2c4ccc(cc4)C#N)C5=CC(=CNC5=O)Cl,L00039
