Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
KEAP1,KEAP1_SCAF_12,4,c1ccc(Cc2ccc3[nH]nnc3c2)cc1,c1ccc(Cc2ccc3[nH]nnc3c2)cc1,Polycyclic_Hetero,-2.2039983007373477e-15,-0.044837908343678144,1.566648045859943e-15,1,87,0.04597701149425287,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_13,2,O=S(=O)(NCc1cccc(Cc2ccc3[nH]nnc3c2)c1)c1ccccc1,O=S(=O)(NCc1cccc(Cc2ccc3[nH]nnc3c2)c1)c1ccccc1,Polycyclic_Hetero,-7.776495496929986e-15,-7.342274936187703e-15,0.020908012653829345,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_14,2,O=S1(=O)c2ccccc2OCCN1Cc1cccc(Cc2ccc3[nH]nnc3c2)c1,O=S1(=O)c2ccccc2OCCN1Cc1cccc(Cc2ccc3[nH]nnc3c2)c1,Polycyclic_Hetero,-5.286771020962533e-14,-0.08201871605784657,-1.8388401912261542e-13,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_15,1,O=c1occc2ocnc12,O=c1occc2ocnc12,Bicyclic_Hetero,-1.1614640873001638e-15,2.348548705937831e-16,-1.1870846186376673e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_16,1,C=C1C(=O)O[C@H]2CC[C@@H]3CCCC3C[C@H]12,C=C1C(=O)O[C@H]2CC[C@@H]3CCCC3C[C@H]12,Polycyclic_Hetero,7.536059318667729e-16,-2.0648466101929995e-16,-0.0008872273866106396,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_17,1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,Bicyclic_Hetero,3.918434204559376e-17,-8.359326303060002e-16,7.461351797848479e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_18,1,S=c1ncc2cn[nH]c2[nH]1,S=c1ncc2cn[nH]c2[nH]1,Bicyclic_Hetero,-4.758098676964956e-16,2.3473286806360452e-15,-6.760465203521043e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_19,1,C1=NO[C@@H](c2ccccc2)C1,C1=NO[C@@H](c2ccccc2)C1,Bicyclic_Hetero,-9.43689570931383e-16,-1.4155343563970746e-15,-1.2656542480726785e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_2,1,O=C1C=C2C(CC[C@H]3CC=CCC23)C2CCC3CCCC[C@H]3[C@@H]12,O=C1C=C2C(CC[C@H]3CC=CCC23)C2CCC3CCCC[C@H]3[C@@H]12,Polycyclic_Hetero,1.7562471393315685e-14,6.032910020604624e-16,4.474408265281763e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_20,1,C1CCNC1,C1CCNC1,Monocyclic_Hetero,3.172065784643304e-17,-7.93016446160826e-18,-2.1411444046342305e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_21,1,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c(OCc2ccccc2)c1)c1ccccc1,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c(OCc2ccccc2)c1)c1ccccc1,Polycyclic_Hetero,5.417888360170764e-14,9.680748266508284e-15,-0.08943467515734167,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_22,1,O=c1cc(Cc2ccccc2)cc[nH]1,O=c1cc(Cc2ccccc2)cc[nH]1,Bicyclic_Hetero,8.881784197001252e-16,-4.707345624410664e-16,-0.08647451539195487,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_23,1,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCC1,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)C1CCC1,Polycyclic_Hetero,1.5276668818842153e-14,3.2951419370874646e-15,0.017181206119426404,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_24,2,O=C(c1ccccc1)N1CCc2ccc(Cc3ccc4[nH]nnc4c3)cc2C1,O=C(c1ccccc1)N1CCc2ccc(Cc3ccc4[nH]nnc4c3)cc2C1,Polycyclic_Hetero,-9.163965882426813e-15,3.682239698340102e-15,-0.07282417623589608,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_25,1,O=S(=O)(Nc1cnc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,O=S(=O)(Nc1cnc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,Polycyclic_Hetero,7.972818622797507e-14,0.10261274895694615,1.0697353168760604e-13,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_26,1,C1CCSSC1,C1CCSSC1,Monocyclic_Hetero,2.854859206178974e-15,4.9642829529667715e-15,6.8913129171375786e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_27,2,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2ccccc21,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2ccccc21,Polycyclic_Hetero,6.186842421593796e-13,4.64716700495343e-13,6.005173682584725e-14,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_28,1,c1ccc(-n2nccc2C2CC2)cc1,c1ccc(-n2nccc2C2CC2)cc1,Polycyclic_Hetero,-2.7840977386753925e-15,4.6116956407506504e-15,-5.2746268891085565e-15,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_29,7,O=S(=O)(Nc1cccc(-n2nccc2C2CC2)c1)c1ccccc1,O=S(=O)(Nc1cccc(-n2nccc2C2CC2)c1)c1ccccc1,Polycyclic_Hetero,-5.735791245758553e-14,0.05196683520239783,-6.864292332374489e-14,1,87,0.08045977011494253,3.832309551498157,0.9520434103481434
